197490,"Magdalena ADAMOWICZ",0,0,0
189525,"Asim ADEMOV",1,1,0
124831,"Isabella ADINOLFI",2,2,0
197826,"Matteo ADINOLFI",2,3,1
197403,"Alex AGIUS SALIBA",3,4,2
198096,"Mazaly AGUILAR",4,5,3
125045,"Clara AGUILERA",4,6,2
204335,"Alviina ALAMETSÄ",5,7,4
237224,"João ALBUQUERQUE",6,8,2
197836,"Alexander ALEXANDROV YORDANOV",1,9,0
96750,"François ALFONSI",7,10,4
197848,"Atidzhe ALIEVA-VELI",1,11,5
197400,"Abir AL-SAHLANI",8,12,5
197746,"Álvaro AMARO",6,13,0
197783,"Andris AMERIKS",9,14,2
197475,"Christine ANDERSON",10,15,1
197448,"Rasmus ANDRESEN",10,16,4
204332,"Barry ANDREWS",11,17,5
113892,"Eric ANDRIEU",7,18,2
197691,"Mathilde ANDROUËT",7,19,1
125110,"Nikos ANDROULAKIS",12,20,2
202073,"Marc ANGEL",13,21,2
124973,"Gerolf ANNEMANS",14,22,1
124696,"Andrus ANSIP",15,23,5
197587,"Attila ARA-KOVÁCS",16,24,2
124936,"Maria ARENA",14,25,2
96808,"Pablo ARIAS ECHEVERRÍA",4,26,0
24922,"Pascal ARIMONT",14,27,0
197492,"Bartosz ARŁUKOWICZ",0,28,0
197701,"Konstantinos ARVANITIS",12,29,6
197695,"Anna-Michelle ASIMAKOPOULOU",12,30,0
197533,"Manon AUBRY",7,31,6
28161,"Margrete AUKEN",17,32,4
124766,"Petras AUŠTREVIČIUS",18,33,5
197651,"Carmen AVRAM",19,34,2
197781,"Malik AZMANI",20,35,5
197789,"Simona BALDASSARRE",2,3,1
197495,"Marek Paweł BALT",0,36,2
131580,"Jordan BARDELLA",7,19,1
197433,"Katarina BARLEY",10,37,2
197808,"Pietro BARTOLO",2,38,2
197671,"Traian BĂSESCU",19,39,0
197610,"Alessandra BASSO",2,3,1
197779,"José Ramón BAUZÁ DÍAZ",4,40,5
124760,"Nicolas BAY",7,41,7
132191,"Gunnar BECK",10,15,1
197437,"Nicola BEER",10,42,5
124777,"Tiziana BEGHIN",2,43,7
197680,"Aurélia BEIGNEUX",7,19,1
197496,"Marek BELKA",0,36,2
197534,"François-Xavier BELLAMY",7,44,0
197658,"Adrian-Dragoş BENEA",19,34,2
124867,"Brando BENIFEI",2,38,2
197679,"Isabel BENJUMEA BENJUMEA",4,26,0
23868,"Monika BEŇOVÁ",21,45,2
197408,"Hildegard BENTELE",10,46,0
197778,"Tom BERENDSEN",20,47,0
197478,"Lars Patrick BERG",10,48,3
197410,"Stefan BERGER",10,46,0
197396,"Erik BERGKVIST",8,49,2
4746,"Sergio BERLATO",2,50,3
197648,"Alexander BERNHUBER",22,51,0
197498,"Robert BIEDROŃ",0,36,2
23788,"Adam BIELAN",0,52,3
197551,"Stéphane BIJOUX",7,53,5
96922,"Izaskun BILBAO BARANDICA",4,54,5
197771,"Vladimír BILČÍK",21,55,0
124771,"Dominique BILDE",7,19,1
197435,"Gabriele BISCHOFF",10,37,2
197512,"Benoît BITEAU",7,56,4
124992,"Malin BJÖRK",8,57,6
197637,"Vasile BLAGA",19,58,0
197564,"Hynek BLAŠKO",23,59,1
96681,"Vilija BLINKEVIČIŪTĖ",18,60,2
197449,"Michael BLOSS",10,16,4
124712,"Andrea BOCSKOR",16,61,7
197439,"Damian BOESELAGER",10,62,4
197636,"Ioan-Rareş BOGDAN",19,58,0
125004,"Franc BOGOVIČ",24,63,0
197788,"Anna BONFRISCO",2,3,1
101039,"Paolo BORCHIA",2,3,1
112748,"Biljana BORZAN",25,64,2
187917,"Marc BOTENGA",14,65,6
197668,"Vlad-Marius BOTOŞ",19,66,5
197467,"Geert BOURGEOIS",14,67,3
197577,"Gilles BOYER",7,68,5
226260,"Karolin BRAUNSBERGER-REINHOLD",10,46,0
197431,"Patrick BREYER",10,69,4
197446,"Milan BRGLEZ",24,70,2
197470,"Saskia BRICMONT",14,71,4
197501,"Joachim Stanisław BRUDZIŃSKI",0,72,3
182995,"Annika BRUNA",7,19,1
197576,"Sylvie BRUNET",7,73,5
128483,"Markus BUCHHEIT",10,15,1
125012,"Daniel BUDA",19,58,0
4267,"Udo BULLMANN",10,37,2
197440,"Delara BURKHARDT",10,37,2
197434,"Martin BUSCHMANN",10,0,7
38420,"Cristian-Silviu BUŞOI",19,58,0
96739,"Reinhard BÜTIKOFER",10,16,4
197829,"Jorge BUXADÉ VILLALBA",4,5,3
28269,"Jerzy BUZEK",0,28,0
35016,"Marco CAMPOMENOSI",2,3,1
126644,"Jordi CAÑAS",4,40,5
96711,"Pascal CANFIN",7,74,5
197574,"Damien CARÊME",7,56,4
199996,"Isabel CARVALHAIS",6,8,2
96867,"Maria da Graça CARVALHO",6,13,0
28122,"David CASA",3,75,0
197796,"Massimo CASANOVA",2,3,1
28219,"Daniel CASPARY",10,46,0
124812,"Fabio Massimo CASTALDO",2,43,7
28390,"Pilar del CASTILLO VERA",4,26,0
86793,"Anna CAVAZZINI",10,16,4
197786,"Susanna CECCARDI",2,3,1
197641,"Sara CERDAS",6,8,2
197505,"Catherine CHABAUD",7,73,5
236052,"Patricia CHAGNON",7,19,1
197782,"Mohammed CHAHIM",20,76,2
197529,"Leila CHAIBI",7,31,6
124708,"Dita CHARANZOVÁ",23,77,5
197463,"Olivier CHASTEL",14,78,5
124861,"Caterina CHINNICI",2,38,2
197558,"Asger CHRISTENSEN",17,79,5
204416,"Ilana CICUREL",7,74,5
197507,"Włodzimierz CIMOSZEWICZ",0,80,2
183793,"Angelo CIOCCA",2,3,1
197631,"Dacian CIOLOŞ",19,81,5
197657,"Tudor CIUHODARU",19,34,2
124988,"Deirdre CLUNE",11,82,0
197536,"Nathalie COLIN-OESTERLÉ",7,83,0
197683,"Gilbert COLLARD",7,41,7
96775,"Lara COMI",2,2,0
202352,"Antoni COMÍN I OLIVERES",4,84,7
197616,"Rosanna CONTE",2,3,1
197503,"David CORMAND",7,56,4
124856,"Ignazio CORRAO",2,0,4
240478,"Beatrice COVASSI",2,38,2
96880,"Andrea COZZOLINO",2,38,7
33997,"Corina CREȚU",19,85,2
197588,"Katalin CSEH",16,86,5
197654,"Ciarán CUFFE",11,87,4
197394,"Josianne CUTAJAR",3,4,2
28372,"Ryszard CZARNECKI",0,72,3
96809,"Peter van DALEN",20,88,0
183338,"Jakop G. DALUNDE",8,89,4
197731,"Clare DALY",11,90,6
124835,"Rosa D'AMATO",2,0,4
96747,"Arnaud DANJEAN",7,44,0
124821,"Nicola DANTI",2,91,5
239258,"Maria Angela DANZÌ",2,43,7
197608,"Gianantonio DA RE",2,3,1
236050,"Marie DAUCHY",7,19,1
197556,"Ivan DAVID",23,59,1
239262,"Elisabetta DE BLASIS",2,3,1
228604,"Ilan DE BASSO",8,49,2
96891,"Paolo DE CASTRO",2,38,2
197504,"Jérémy DECERLE",7,92,5
197531,"Gwendoline DELBOS-CORFIELD",7,56,4
124714,"Andor DELI",16,61,7
96868,"Karima DELLI",7,56,4
197472,"Filip DE MAN",14,22,1
204333,"Salvatore DE MEO",2,2,0
197468,"Özlem DEMIREL",10,93,6
197453,"Anna DEPARNAY-GRUNENBERG",10,16,4
96826,"Tamás DEUTSCH",16,61,7
190774,"Geoffroy DIDIER",7,44,0
124709,"Martina DLABAJOVÁ",23,77,5
197579,"Klára DOBREV",16,24,2
197473,"Christian DOLESCHAL",10,94,0
197595,"Anna Júlia DONÁTH",16,86,5
197822,"Francesca DONATO",2,0,7
96787,"Herbert DORFMANN",2,95,0
197510,"Jarosław DUDA",0,28,0
99945,"Lena DÜPONT",10,46,0
198329,"Estrella DURÁ FERRANDIS",4,6,2
124693,"Pascal DURAND",7,74,2
197766,"Lucia ĎURIŠ NICHOLSONOVÁ",21,0,5
124873,"Angel DZHAMBAZKI",1,96,3
237465,"Matthias ECKE",10,37,2
28226,"Christian EHLER",10,46,0
96725,"Bas EICKHOUT",20,97,4
209091,"Cyrus ENGERER",3,4,2
96852,"Cornelia ERNST",10,93,6
197430,"Engin EROGLU",10,98,5
96842,"Ismail ERTUG",10,37,2
96811,"Rosa ESTARÀS FERRAGUT",4,26,0
197535,"Agnès EVREN",7,44,0
197649,"Gheorghe FALCĂ",19,58,0
197589,"Laurence FARRENG",7,73,5
1917,"Markus FERBER",10,94,0
96899,"José Manuel FERNANDES",6,13,0
125046,"Jonás FERNÁNDEZ",4,6,2
192634,"Giuseppe FERRANDINO",2,91,5
124833,"Laura FERRARA",2,43,7
197480,"Nicolaus FEST",10,15,1
96810,"Carlo FIDANZA",2,50,3
197607,"Pietro FIOCCHI",2,50,3
197720,"Frances FITZGERALD",11,82,0
124985,"Luke Ming FLANAGAN",11,0,6
197419,"Valter FLEGO",25,99,5
28353,"Anna FOTYGA",0,72,3
197414,"Loucas FOURLAS",26,100,0
198490,"Emmanouil FRAGKOS",12,101,3
197513,"Tomasz FRANKOWSKI",0,28,0
197455,"Cindy FRANSSEN",14,102,0
193273,"Romeo FRANZ",10,16,4
106936,"Daniel FREUND",10,16,4
197391,"Heléne FRITZON",8,49,2
101585,"Niels FUGLSANG",17,103,2
197795,"Mario FURORE",2,43,7
2341,"Michael GAHLER",10,46,0
28150,"Kinga GÁL",16,61,7
229352,"Malte GALLÉE",10,16,4
197702,"Lina GÁLVEZ MUÑOZ",4,6,2
197632,"Claudia GAMON",22,104,5
197582,"Gianna GANCIA",2,3,1
197717,"Ibán GARCÍA DEL BLANCO",4,6,2
1992,"José Manuel GARCÍA-MARGALLO Y MARFIL",4,26,0
197742,"Isabel GARCÍA MUÑOZ",4,6,2
28298,"Iratxe GARCÍA PÉREZ",4,6,2
96991,"Eider GARDIAZABAL RUBIAL",4,6,2
197628,"Jean-Paul GARRAUD",7,19,1
239255,"Matteo GAZZINI",2,3,1
183916,"Alexandra GEESE",10,16,4
96833,"Jens GEIER",10,37,2
197794,"Chiara GEMMA",2,0,3
197416,"Giorgos GEORGIOU",26,105,6
197819,"Alexis GEORGOULIS",12,29,6
197436,"Helmut GEUKING",10,106,0
209140,"Vlad GHEORGHE",19,66,5
239256,"Paola GHIDONI",2,3,1
197804,"Dino GIARRUSSO",2,0,7
124807,"Jens GIESEKE",10,46,0
202036,"Sunčana GLAVAK",25,107,0
197443,"Andreas GLÜCK",10,42,5
197694,"Raphaël GLUCKSMANN",7,108,2
840,"Charles GOERENS",13,109,5
197728,"Mónica Silvana GONZÁLEZ",4,6,2
197718,"Nicolás GONZÁLEZ CASARES",4,6,2
125027,"Esteban GONZÁLEZ PONS",4,26,0
204419,"Sandro GOZI",7,74,5
125025,"Marcel de GRAAFF",20,110,7
197799,"Valentino GRANT",2,3,1
124785,"Maria GRAPINI",19,111,2
197549,"Markéta GREGOROVÁ",23,112,4
94649,"Catherine GRISET",7,19,1
197780,"Bart GROOTHUIS",20,35,5
197452,"Klemen GROŠELJ",24,113,5
197557,"Christophe GRUDLER",7,73,5
204420,"Claude GRUFFAT",7,56,4
197618,"Elisabetta GUALMINI",2,38,2
197645,"Francisco GUERREIRO",6,114,4
197543,"Bernard GUETTA",7,74,5
96952,"Sylvie GUILLAUME",7,18,2
88715,"José GUSMÃO",6,115,6
198063,"Márton GYÖNGYÖSI",16,116,7
96830,"Enikő GYŐRI",16,61,7
23816,"András GYÜRK",16,61,7
197444,"Svenja HAHN",10,42,5
197457,"Henrike HAHN",10,16,4
198176,"Roman HAIDER",22,117,1
34578,"Robert HAJŠEL",21,0,2
197596,"Teuvo HAKKARAINEN",5,118,1
197514,"Andrzej HALICKI",0,28,0
193419,"Christophe HANSEN",13,119,0
96752,"Martin HÄUSLING",10,16,4
2054,"Heidi HAUTALA",5,7,4
197646,"Mircea-Gheorghe HAVA",19,58,0
135511,"Valérie HAYER",7,120,5
125023,"Anja HAZEKAMP",20,121,6
197682,"Hannes HEIDE",22,122,2
197800,"Eero HEINÄLUOMA",5,123,2
197412,"Niclas HERBST",10,46,0
197459,"Pierrette HERZBERGER-FOFANA",10,16,4
124895,"Krzysztof HETMAN",0,124,0
124586,"Balázs HIDVÉGHI",16,61,7
197526,"Martin HLAVÁČEK",23,77,5
96780,"Monika HOHLMEIER",10,94,0
197770,"Martin HOJSÍK",21,125,5
197398,"Pär HOLMGREN",8,89,4
124715,"György HÖLVÉNYI",16,126,0
122978,"Alicia HOMS GINEL",4,6,2
218349,"Michiel HOOGEVEEN",20,127,3
5565,"Brice HORTEFEUX",7,44,0
197846,"Ivo HRISTOV",1,128,2
96779,"Danuta Maria HÜBNER",0,28,0
197594,"Laura HUHTASAARI",5,118,1
58789,"Jan HUITEMA",20,35,5
197624,"Ivars IJABS",9,129,5
221463,"Ladislav ILČIĆ",25,130,3
197392,"Evin INCIR",8,49,2
28266,"Sophia IN 'T VELD",20,131,5
96740,"Yannick JADOT",7,56,4
96772,"Peter JAHR",10,46,0
197837,"Stasys JAKELIŪNAS",18,0,4
197516,"Patryk JAKI",0,132,3
124770,"Jean-François JALKH",7,19,1
189065,"France JAMET",7,19,1
28141,"Lívia JÁRÓKA",16,61,7
197517,"Adam JARUBAS",0,124,0
112747,"Romana JERKOVIĆ",25,64,2
125021,"Agnes JONGERIUS",20,76,2
197627,"Virginie JORON",7,19,1
197447,"Irena JOVEVA",24,113,5
197840,"Rasa JUKNEVIČIENĖ",18,133,0
197518,"Krzysztof JURGIEL",0,72,3
197767,"Eugen JURZYCA",21,134,3
197626,"Hervé JUVIN",7,19,7
125109,"Eva KAILI",12,0,7
96771,"Jarosław KALINOWSKI",0,124,0
197491,"Marina KALJURAND",15,135,2
96934,"Sandra KALNIETE",9,136,0
96837,"Petra KAMMEREVERT",10,37,2
197839,"Radan KANEV",1,137,0
197469,"Assita KANKO",14,67,3
4246,"Othmar KARAS",22,51,0
197585,"Pierre KARLESKIND",7,53,5
197401,"Karin KARLSBRO",8,138,5
124887,"Karol KARSKI",0,72,3
191693,"Elsi KATAINEN",5,139,5
125068,"Manolis KEFALOGIANNIS",12,30,0
197818,"Billy KELLEHER",11,17,5
22858,"Fabienne KELLER",7,140,5
96734,"Ska KELLER",10,16,4
96668,"Seán KELLY",11,82,0
197519,"Beata KEMPA",0,132,3
197415,"Niyazi KIZILYÜREK",26,105,6
197520,"Izabela-Helena KLOC",0,72,3
197528,"Ondřej KNOTEK",23,77,5
197523,"Łukasz KOHUT",0,36,2
197406,"Arba KOKALARI",8,141,0
197743,"Petros KOKKALIS",12,29,6
197546,"Marcel KOLAJA",23,112,4
197438,"Mislav KOLAKUŠIĆ",25,142,7
23699,"Kateřina KONEČNÁ",23,143,6
197740,"Athanasios KONSTANTINOU",12,0,7
197525,"Ewa KOPACZ",0,28,0
197530,"Joanna KOPCIŃSKA",0,72,3
197445,"Moritz KÖRNER",10,42,5
96829,"Ádám KÓSA",16,61,7
124822,"Dietmar KÖSTER",10,37,2
130833,"Stelios KOULOGLOU",12,29,6
197699,"Elena KOUNTOURA",12,29,6
118949,"Ondřej KOVAŘÍK",23,77,5
97968,"Andrey KOVATCHEV",1,1,0
197481,"Maximilian KRAH",10,15,1
124891,"Zdzisław KRASNODĘBSKI",0,72,3
197532,"Elżbieta KRUK",0,72,3
197843,"Andrius KUBILIUS",18,133,0
197395,"Alice KUHNKE",8,89,4
197482,"Joachim KUHS",10,15,1
124735,"Miapetra KUMPULA-NATRI",5,123,2
28389,"Zbigniew KUŹMIUK",0,72,3
197692,"Stelios KYMPOUROPOULOS",12,30,0
125063,"Georgios KYRTSOS",12,0,5
124866,"Ilhan KYUCHYUK",1,11,5
